,bachelor_name,bachelor_age,bachelor_height_in,bachelor_hair,season_lead,bach_id,his_city_id,his_state_id,his_country_id
0,Aaron Buerge,28,72,brown,2,0,348,1,1
1,Alex Michel,32,72,brown,1,1,94,14,1
2,Andy Baldwin,30,72,light brown,10,2,349,8,1
3,Arie Luyendyk Jr.,36,74,brown gray,22,3,92,7,1
4,Ben Flajnik,29,74,brown,16,4,350,4,1
5,Ben Higgins,26,78,brown,20,5,351,16,1
6,Brad Womack,35,73,blonde,15,6,207,9,1
7,Brad Womack,35,73,blonde,11,6,207,9,1
8,Chris Soules,33,73,brown,19,8,176,48,1
9,Colton Underwood,26,75,blonde,23,9,133,5,1
10,Jake Pavelka,32,70,blonde,14,10,16,9,1
11,Jason Mesnick,33,72,brown,13,11,352,25,1
12,Jesse Palmer,34,74,brown,5,12,195,44,2
13,Juan Pablo Galavais,32,71,brown,18,13,38,13,1
14,Lorenzo Borghese,34,71,brown,9,14,353,53,5
15,Matt Grant,27,77,brown,12,15,102,37,3
16,Nick Viall,36,74,light brown,21,16,354,43,1
17,Sean Lowe,28,75,blonde,17,17,355,9,1
